Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnLogGetWorkspaceSize,2172.31,1,2172.31,2172.31,2172.31,0
host,acl,aclnnLtTensor,5677.52,100,56.775,6.29,4867.03,233734.852
host,acl,aclnnLtTensorGetWorkspaceSize,5025.9,1,5025.9,5025.9,5025.9,0
host,acl,aclnnMatmul,15731.25,101,155.755,8.76,14554.16,2073167.218
host,acl,aclnnMatmulGetWorkspaceSize,1023367.06,2,511683.53,286.19,1023080.87,261527239359.076
host,acl,aclnnMatmulWeightNz,395446.53,13968,28.311,6.25,3425.3,2925.781
host,acl,aclnnMatmulWeightNzGetWorkspaceSize,34389.14,196,175.455,51.65,17391.72,1565261.76
host,acl,aclnnMul,117.56,1,117.56,117.56,117.56,0
host,acl,aclnnMulGetWorkspaceSize,51.36,1,51.36,51.36,51.36,0
host,acl,aclnnMuls,4927.48,1,4927.48,4927.48,4927.48,0
host,acl,aclnnMulsGetWorkspaceSize,6272.95,1,6272.95,6272.95,6272.95,0
host,acl,aclnnNeg,1520.52,100,15.205,7.5,596.19,3411.52
host,acl,aclnnNegGetWorkspaceSize,1513.14,1,1513.14,1513.14,1513.14,0
host,acl,aclnnPowScalarTensor,4605.8,1,4605.8,4605.8,4605.8,0
host,acl,aclnnPowScalarTensorGetWorkspaceSize,4751.46,1,4751.46,4751.46,4751.46,0
host,acl,aclnnReciprocal,981.25,1,981.25,981.25,981.25,0
host,acl,aclnnReciprocalGetWorkspaceSize,1166.29,1,1166.29,1166.29,1166.29,0
host,acl,aclnnReduceSum,14708.89,100,147.089,22.54,12089.98,1440740.73
host,acl,aclnnReduceSumGetWorkspaceSize,52455.34,1,52455.34,52455.34,52455.34,0
host,acl,aclnnRepeat,7916.8,97,81.616,10.43,4057.14,165419.423
host,acl,aclnnRepeatGetWorkspaceSize,8784.5,49,179.276,26.8,7208.12,1029378.856
host,acl,aclnnRmsNorm,562888.84,7081,79.493,7.81,87187.38,1072268.476
host,acl,aclnnRmsNormGetWorkspaceSize,1514124.2,7081,213.829,3.82,1101069.92,172049947.047
host,acl,aclnnRmsNormTiling,6528.45,147,44.411,27.52,154.08,390.11
host,acl,aclnnRsubs,5180.29,100,51.803,6.71,4389.62,190068.298
host,acl,aclnnRsubsGetWorkspaceSize,5973.92,1,5973.92,5973.92,5973.92,0
host,acl,aclnnSin,649.55,1,649.55,649.55,649.55,0
