Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2100,2.760,1764309594499587.890	,1764309594499590.650	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2101,18.920,1764309594499590.670	,1764309594499609.590	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2101,16.740,1764309594499592.070	,1764309594499608.810	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2102,587.700,1764309594499609.610	,1764309594500197.310	
4,AddRmsNorm,AI_VECTOR_CORE,23,2103,2.100,1764309594500197.330	,1764309594500199.430	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2104,26.020,1764309594500199.470	,1764309594500225.490	
4,SwiGlu,AI_VECTOR_CORE,23,2105,4.060,1764309594500225.510	,1764309594500229.570	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2106,602.400,1764309594500229.590	,1764309594500831.990	
4,AddRmsNorm,AI_VECTOR_CORE,23,2107,2.120,1764309594500832.010	,1764309594500834.130	
4,trans_TransData_1,AI_VECTOR_CORE,23,2108,11.020,1764309594500834.150	,1764309594500845.170	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2109,8.780,1764309594500845.190	,1764309594500853.970	
4,rope_custom_true_half,AI_CORE,23,2110,5.100,1764309594500854.010	,1764309594500859.110	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2111,3.160,1764309594500859.130	,1764309594500862.290	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2112,603.980,1764309594500862.310	,1764309594501466.290	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2112,601.620,1764309594500863.530	,1764309594501465.150	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2113,14.640,1764309594501466.310	,1764309594501480.950	
4,AddRmsNorm,AI_VECTOR_CORE,23,2114,2.880,1764309594501480.970	,1764309594501483.850	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2115,628.780,1764309594501483.870	,1764309594502112.650	
4,SwiGlu,AI_VECTOR_CORE,23,2116,4.360,1764309594502112.670	,1764309594502117.030	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2117,605.440,1764309594502117.050	,1764309594502722.490	
4,AddRmsNorm,AI_VECTOR_CORE,23,2118,2.300,1764309594502722.530	,1764309594502724.830	
4,trans_TransData_1,AI_VECTOR_CORE,23,2119,10.780,1764309594502724.850	,1764309594502735.630	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2120,10.380,1764309594502735.670	,1764309594502746.050	
4,rope_custom_true_half,AI_CORE,23,2121,5.640,1764309594502746.070	,1764309594502751.710	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2122,2.240,1764309594502751.730	,1764309594502753.970	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2123,582.200,1764309594502753.990	,1764309594503336.190	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2123,580.020,1764309594502755.290	,1764309594503335.310	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2124,12.800,1764309594503336.210	,1764309594503349.010	
4,AddRmsNorm,AI_VECTOR_CORE,23,2125,2.260,1764309594503349.030	,1764309594503351.290	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2126,603.440,1764309594503351.330	,1764309594503954.770	
4,SwiGlu,AI_VECTOR_CORE,23,2127,5.220,1764309594503954.790	,1764309594503960.010	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2128,590.360,1764309594503960.030	,1764309594504550.390	
4,AddRmsNorm,AI_VECTOR_CORE,23,2129,2.000,1764309594504550.410	,1764309594504552.410	
4,trans_TransData_1,AI_VECTOR_CORE,23,2130,12.600,1764309594504552.430	,1764309594504565.030	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2131,556.000,1764309594504565.050	,1764309594505121.050	
